robot,shop,reference,number,type,tech,mark,remark
UB41_020RB_100,MRA1BS,20230626-20230811,301314.0,KR600_R2830_Fortec,抓手+涂胶,0,温度相关可能，观察
UB41_020RB_200,MRA1,250410-250516,546892.0,KR420_R3330_Fortec,抓手+点焊,0,
UB41_030RB_100,MRA1,250410-250516,465726.0,KR420_R3330_Fortec,抓手+涂胶,0,
UB41_040RB_100,MRA1,250410-250516,552132.0,KR360_R2830_Fortec,抓手+涂胶,0,25年1月12号换齿轮箱
UB41_050RB_100,MRA1,250410-250516,408795.0,KR240_R2900_ultra,点焊,0,
UB41_050RB_200,MRA1,250410-250516,398286.0,KR240_R2900_ultra,点焊,0,
UB41_060RB_100,MRA1,250410-250516,353576.0,KR420_R3330_Fortec,抓手+涂胶,0,温度相关
UB41_070RB_100,MRA1,250410-250516,210665.0,KR420_R3330_Fortec,抓手,0,
UB41_070RB_200,MRA1,250410-250516,330899.0,KR240_R2900_ultra,点焊,0,
UB41_070RB_300,MRA1,250410-250516,281901.0,KR240_R2900_ultra,点焊,0,
UB41_080RB_100,MRA1,250410-250516,133079.0,KR600_R2830_Fortec,抓手,0,25.1
UB41_080RB_200,MRA1,250410-250516,413717.0,KR210_R3100_ultra,点焊,0,
UB41_080RB_300,MRA1,250410-250516,427203.0,KR210_R3100_ultra,点焊,0,
UB41_080RB_400,MRA1,250410-250516,342555.0,KR210_R3100_ultra,点焊,0,
UB41_080RB_500,MRA1,250410-250516,433369.0,KR210_R3100_ultra,点焊,0,
UB41_090RB_100,MRA1,250410-250516,321204.0,KR600_R2830_Fortec,抓手,0,250407 检查轴承损坏，齿条损伤，齿轮齿条间隙大，修复后继续观察
UB41_110RB_100,MRA1,250410-250516,359442.0,KR240_R2900_ultra,抓手+涂胶,0,
UB41_110RB_200,MRA1,250410-250516,370960.0,KR210_R2700_prime,点焊,0,
UB41_110RB_300,MRA1,250410-250516,387064.0,KR210_R2700_prime,点焊,0,
UB41_120RB_100,MRA1,250410-250516,175883.0,KR600_R2830_Fortec,抓手,0,
UB41_120RB_200,MRA1,250410-250516,131676.0,KR600_R2830_Fortec,抓手,0,
UB41_130RB_100,MRA1,250410-250516,,KR240_R2900_ultra,点焊,0,
UB41_130RB_200,MRA1,250410-250516,486650.0,KR240_R2900_ultra,点焊,0,
UB41_130RB_300,MRA1,250410-250516,476801.0,KR210_R2700_prime,点焊,0,
UB41_130RB_400,MRA1,250410-250516,474989.0,KR210_R2700_prime,点焊,0,
UB41_140RB_100,MRA1,250410-250516,446894.0,KR240_R2900_ultra,点焊,0,
UB41_140RB_200,MRA1,250410-250516,463174.0,KR240_R2900_ultra,点焊,0,
UB41_140RB_300,MRA1,250410-250516,440298.0,KR210_R2700_prime,点焊,0,
UB41_140RB_400,MRA1,250410-250516,445301.0,KR210_R2700_prime,点焊,0,
UB42_150RB_100,MRA1,250410-250516,199552.0,KR600_R2830_Fortec,抓手,0,25年1月12号换齿轮箱
UB42_150RB_200,MRA1,250410-250516,439532.0,KR600_R2830_Fortec,抓手,0,
UB42_150RB_300,MRA1,250410-250516,482662.0,KR600_R2830_Fortec,抓手,0,
UB42_160RB_100,MRA1,250410-250516,181700.0,KR210_R2700_prime,螺柱焊,0,
UB42_160RB_200,MRA1,250410-250516,169311.0,KR210_R2700_prime,螺柱焊,0,
UB42_160RB_300,MRA1,250410-250516,179567.0,KR210_R2700_prime,螺柱焊,0,
UB42_170RB_100,MRA1,250410-250516,216295.0,KR210_R2700_prime,螺柱焊,0,
UB42_170RB_200,MRA1,250410-250516,145497.0,KR210_R2700_prime,螺柱焊,0,
UB42_170RB_300,MRA1,250410-250516,140596.0,KR210_R2700_prime,螺柱焊,0,
UB42_190RB_100,MRA1,250410-250516,201150.0,KR210_R2700_prime,螺柱焊,0,
UB42_190RB_200,MRA1,250410-250516,135035.0,KR210_R2700_prime,螺柱焊,0,
UB42_190RB_300,MRA1,250410-250516,75073.0,KR210_R2700_prime,螺柱焊,0,
UB42_190RB_400,MRA1,250410-250516,151600.0,KR210_R2700_prime,螺柱焊,0,
UB42_200RB_100,MRA1,250410-250516,264229.0,KR210_R2700_prime,螺柱焊,0,
UB42_200RB_200,MRA1,250410-250516,97673.0,KR210_R2700_prime,螺柱焊,0,
UB42_200RB_300,MRA1,250410-250516,208476.0,KR210_R2700_prime,螺柱焊,0,
UB42_200RB_400,MRA1,2025-07-30_2025-09-03,152061.0,KR600_R2830_Fortec,抓手,1,8月需要改参照
UB42_220RB_100,MRA1,250410-250516,176900.0,KR600_R2830_Fortec,抓手,0,7.15 突变
UB42_220RB_200,MRA1,2025-07-30_2025-09-03,235625.0,KR600_R2830_Fortec,抓手,0,换平衡杠
UB42_220RB_300,MRA1,2025-07-30_2025-09-03,232641.0,KR600_R2830_Fortec,抓手,0,7月换齿轮箱
UB42_220RB_400,MRA1,250410-250516,314919.0,KR600_R2830_Fortec,抓手,0,
UB42_230RB_100,MRA1,250410-250516,205583.0,KR210_R2700_prime,螺柱焊,0,
UB42_230RB_200,MRA1,250410-250516,211138.0,KR210_R2700_prime,螺柱焊,0,
UB42_230RB_300,MRA1,250410-250516,63150.0,KR210_R2700_prime,螺柱焊,0,
UB42_230RB_400,MRA1,250410-250516,8.0,KR210_R2700_prime,螺柱焊,0,
UB42_240RB_100,MRA1,250410-250516,310552.0,KR210_R2700_prime,螺柱焊,0,
UB42_240RB_200,MRA1,250410-250516,247419.0,KR210_R2700_prime,螺柱焊,0,
UB42_250RB_100,MRA1,250410-250516,332238.0,KR210_R2700_prime,螺柱焊,0,
UB42_250RB_200,MRA1,250410-250516,284254.0,KR210_R2700_prime,螺柱焊,0,
UB42_250RB_300,MRA1,250410-250516,300227.0,KR210_R2700_prime,螺柱焊,0,25.6.8改
UB43_270RB_100,MRA1,250410-250516,196209.0,KR600_R2830_Fortec,抓手,0,
UB43_270RB_200,MRA1,250410-250516,241323.0,KR600_R2830_Fortec,抓手,0,
